frameIndex;frameTime;pcm_LOGenergy
728;7.280000;-1.351152e+01
729;7.290000;-1.088947e+01
730;7.300000;-8.241729e+00
731;7.310000;-7.005155e+00
732;7.320000;-5.269191e+00
733;7.330000;-4.325352e+00
734;7.340000;-3.907292e+00
735;7.350000;-3.866671e+00
736;7.360000;-4.049738e+00
737;7.370000;-4.335927e+00
738;7.380000;-4.864454e+00
739;7.390000;-5.754035e+00
740;7.400000;-6.526975e+00
741;7.410000;-6.595475e+00
742;7.420000;-6.159377e+00
743;7.430000;-5.745566e+00
744;7.440000;-5.718843e+00
745;7.450000;-6.188395e+00
746;7.460000;-7.780745e+00
747;7.470000;-9.401643e+00
748;7.480000;-1.247759e+01
749;7.490000;-1.413881e+01
750;7.500000;-1.357945e+01
751;7.510000;-1.050670e+01
752;7.520000;-8.384120e+00
753;7.530000;-7.469493e+00
754;7.540000;-4.246218e+00
755;7.550000;-3.618026e+00
756;7.560000;-3.642967e+00
757;7.570000;-4.548173e+00
758;7.580000;-5.348762e+00
759;7.590000;-5.639943e+00
760;7.600000;-5.698486e+00
761;7.610000;-5.756346e+00
762;7.620000;-5.781057e+00
763;7.630000;-5.970457e+00
764;7.640000;-6.540476e+00
765;7.650000;-7.137123e+00
766;7.660000;-7.223388e+00
767;7.670000;-7.264313e+00
768;7.680000;-6.536067e+00
769;7.690000;-5.525990e+00
770;7.700000;-4.883443e+00
771;7.710000;-4.732286e+00
772;7.720000;-4.992093e+00
773;7.730000;-5.523151e+00
774;7.740000;-6.294083e+00
775;7.750000;-6.957964e+00
776;7.760000;-6.958855e+00
777;7.770000;-6.925796e+00
778;7.780000;-7.008332e+00
779;7.790000;-6.861020e+00
780;7.800000;-6.634170e+00
781;7.810000;-6.447241e+00
782;7.820000;-5.940598e+00
783;7.830000;-6.112318e+00
784;7.840000;-6.612836e+00
785;7.850000;-5.379403e+00
786;7.860000;-4.449533e+00
787;7.870000;-4.216719e+00
788;7.880000;-4.624981e+00
789;7.890000;-5.300119e+00
790;7.900000;-6.233894e+00
791;7.910000;-9.471039e+00
792;7.920000;-1.083119e+01
793;7.930000;-1.269090e+01
794;7.940000;-1.388307e+01
795;7.950000;-1.427895e+01
796;7.960000;-1.461416e+01
797;7.970000;-1.398120e+01
798;7.980000;-8.400115e+00
799;7.990000;-5.226860e+00
800;8.000000;-4.303813e+00
801;8.010000;-4.061193e+00
802;8.020000;-4.422026e+00
803;8.030000;-5.506865e+00
804;8.040000;-6.949132e+00
805;8.050000;-8.749242e+00
806;8.060000;-9.004040e+00
807;8.070000;-8.505793e+00
808;8.080000;-8.717483e+00
809;8.090000;-9.114618e+00
810;8.100000;-1.172699e+01
811;8.110000;-1.257632e+01
812;8.120000;-1.196433e+01
813;8.130000;-1.049067e+01
814;8.140000;-8.989207e+00
815;8.150000;-8.594583e+00
816;8.160000;-8.133629e+00
817;8.170000;-6.624290e+00
818;8.180000;-5.545555e+00
819;8.190000;-5.136435e+00
820;8.200000;-5.287491e+00
821;8.210000;-5.744776e+00
822;8.220000;-5.716884e+00
823;8.230000;-5.445670e+00
824;8.240000;-5.404926e+00
825;8.250000;-5.558515e+00
826;8.260000;-5.770886e+00
827;8.270000;-5.696908e+00
828;8.280000;-5.914029e+00
829;8.290000;-6.511882e+00
830;8.300000;-6.840162e+00
831;8.310000;-6.152259e+00
832;8.320000;-5.532415e+00
833;8.330000;-5.403809e+00
834;8.340000;-6.361081e+00
835;8.350000;-7.295647e+00
836;8.360000;-9.818037e+00
